"Carnegie" "Sal_asst" "FICE" "Name" "State" "Carnegie_code" "Sal_full" "Sal_assoc" "Sal_all" "Comp_full" "Comp_assoc" "Comp_asst" "Comp_all" "N_full" "N_assoc" "N_asst" "N_instr" "Num_tot"
3 362 1061 "Alaska Pacific University" "AK" "IIB" "454" "382" 382 "567" "485" "471" 487 6 11 9 4 32
1 432 1063 "Univ.Alaska-Fairbanks" "AK" "I" "686" "560" 508 "914" "753" "572" 677 74 125 118 40 404
2 329 1065 "Univ.Alaska-Southeast" "AK" "IIA" "533" "494" 415 "716" "663" "442" 559 9 26 20 9 70
2 414 11462 "Univ.Alaska-Anchorage" "AK" "IIA" "612" "507" 498 "825" "681" "557" 670 115 124 101 21 392
2 310 1002 "Alabama Agri.&Mech. Univ." "AL" "IIA" "442" "369" 350 "530" "444" "376" 423 59 77 102 24 262
2 310 1004 "University of Montevallo" "AL" "IIA" "441" "385" 388 "542" "473" "383" 477 57 33 35 2 127
3 351 1008 "Athens State College" "AL" "IIB" "466" "394" 396 "558" "476" "427" 478 20 18 30 0 68
1 374 1009 "Auburn University- Main" "AL" "I" "580" "437" 455 "692" "527" "451" 546 366 354 301 66 1109
3 322 1012 "Birmingham Southern College" "AL" "IIB" "498" "379" 401 "655" "501" "404" 523 34 25 27 3 89
3 359 1016 "Univ. of North Alabama" "AL" "IIB" "506" "412" 411 "607" "508" "445" 503 67 40 66 27 200
3 287 1019 "Huntingdon College" "AL" "IIB" "339" "303" 301 "421" "371" "347" 366 8 15 19 2 44
2 338 1020 "Jacksonville State Univ." "AL" "IIA" "461" "389" 386 "585" "496" "436" 493 106 42 66 58 272
3 258 1024 "Livingston University" "AL" "IIB" "360" "304" 300 "433" "369" "313" 363 27 25 33 4 89
3 277 1029 "University of Mobile" "AL" "IIB" "354" "321" 291 "436" "401" "346" 363 17 19 31 19 86
3 283 1033 "Oakwood College" "AL" "IIB" "301" "290" 290 "375" "363" "355" 362 18 28 28 3 77
2 363 1036 "Samford University" "AL" "IIA" "565" "425" 449 "710" "556" "476" 578 83 46 77 9 215
3 311 1041 "Spring Hill College" "AL" "IIB" "431" "352" 373 "518" "425" "374" 449 23 17 14 1 55
3 251 1044 "Stillman College" "AL" "IIB" "321" "288" 272 "388" "354" "312" 335 13 18 18 10 59
2 322 1047 "Troy State University-Main" "AL" "IIA" "462" "385" 350 "560" "467" "392" 426 25 59 100 19 204
2 306 1050 "Tuskegee University" "AL" "IIA" "410" "352" 327 "487" "415" "362" 387 57 65 85 45 254
