"Latitude" "Confirmed" "Deaths"
-121.8929271 178 4
-79.98167747 133 2
-74.07164325 1206 6
-80.48725556 504 3
-93.88375652 115 1
-115.0130241 350 6
-84.5761255 115 2
-121.9289527 131 1
-87.81658794 1418 18
-81.65918339 259 2
-96.7779605 303 7
-89.41733797 134 1
-86.78646056 293 2
-75.40243663 156 2
-104.8725695 262 3
-77.01655992 231 3
-84.21722377 156 6
-88.08642662 131 1
-73.74356679 190 1
-106.6933637 147 1
-91.09777565 105 4
-104.5251411 137 5
-78.73063652 206 2
-70.94687179 247 2
-74.24657979 609 4
-73.3881171 607 13
-83.01115755 109 2
-84.46319413 211 2
-95.39339521 203 2
-72.73103891 138 2
-82.32013172 142 1
-74.07515667 441 1
-105.2517692 131 2
-90.11115756 458 12
-121.8346131 1577 109
-118.2282411 1229 21
-82.92752801 347 11
-112.4918154 299 2
-86.13826325 293 6
-71.39049229 538 4
-87.96733172 347 7
-74.22240686 501 3
-77.69322942 148 4
-77.20358245 164 1
-75.36652296 313 3
-74.5455371 315 1
-73.58941873 3914 17
-72.93620426 156 2
-73.97152637 21873 281
-71.20530408 292 2
-83.38595416 668 15
-74.28089251 389 1
-76.19971155 111 1
-117.7645998 256 1
-81.31799498 110 4
-74.30240757 751 1
-89.92660315 997 46
-80.46536002 169 3
-75.1379271 475 1
-122.1405958 186 4
-76.8496441 101 2
-115.9933578 105 8
-74.02560498 1197 5
-121.3425374 113 5
-116.7365326 293 3
-122.4385672 223 2
-122.3275546 195 5
-121.6970462 542 19
-121.7170703 778 18
-74.61683016 179 1
-90.4458375 173 2
-71.07850442 448 2
-72.8012172 2735 22
-123.0955257 104 3
-83.281255 1389 26
-104.3929621 107 4
-73.75741653 5944 1
-71.90493363 166 3
-116.5765 486 2
117.2264 990 6
116.4142 566 8
-127.6476 725 14
107.874 578 6
117.9874 328 1
101.0583 136 2
113.4244 1448 8
108.7881 254 2
106.8748 146 2
109.7453 168 6
116.1306 319 6
127.7615 484 13
113.614 1275 22
114.2 453 4
112.2707 67801 3169
111.7088 1018 4
115.7221 936 1
122.6085 128 2
151.2093 1219 7
-85.3232 858 13
-73.5491 1632 8
153.0251 493 1
108.8701 253 3
118.1498 771 7
121.4491 451 5
102.7103 547 3
117.323 151 3
144.9631 520 3
115.8605 231 2
101.487 178 2
120.0934 1243 1
20.1683 174 6
1.6596 367 25
1.5218 224 3
-63.6167 502 9
45.0382 290 1
14.5501 6909 49
47.5769 122 3
50.55 458 4
4.469936 6235 220
17.6791 191 3
-51.9253 2985 77
25.4858 264 3
-1.5616 152 7
-71.543 1306 4
-74.2973 491 6
-83.7534 231 2
15.2 495 3
33.4299 146 3
15.473 1925 9
9.5018 1877 41
-70.1627 488 10
-78.1834 1403 34
30.802498 495 24
25.0136 538 1
25.748151 958 5
2.2137 29155 1696
10.451526 43938 267
-1.0232 132 4
21.8243 892 26
19.5033 261 10
-19.0208 802 2
78.96288 727 20
113.9213 893 78
53.688046 29406 2234
43.679291 382 36
-7.6921 1819 19
34.851612 2693 8
12.56738 80589 8215
138.252924 1387 47
66.9237 111 1
127.766922 9241 131
35.8623 368 6
23.8813 299 4
6.1296 1453 9
101.975766 2031 23
-102.5528 475 6
28.3699 177 1
-7.0926 275 11
5.2913 7431 434
21.7453 201 3
8.4689 3369 14
69.3451 1201 9
-80.7821 558 8
-75.0152 580 9
121.774017 707 45
19.1451 1221 16
-8.2245 3544 60
24.9668 1029 23
105.318756 840 3
12.4578 208 21
45.079162 1012 3
21.0059 384 1
103.8333 683 2
14.9955 562 6
-3.74922 57786 4365
18.643501 2840 77
8.2275 11811 191
121 252 2
100.992541 1045 4
9.537499 197 6
35.2433 3629 75
31.1656 196 5
53.847818 333 2
-3.436 11658 578
