"SAL_AP" "SAL_AST" "SAL_ALL" "NUM_AP" "NUM_AST" "NUM_TOT"
382 362 382 11 9 32
560 432 508 125 118 404
494 329 415 26 20 70
507 414 498 124 101 392
369 310 350 77 102 262
385 310 388 33 35 127
394 351 396 18 30 68
437 374 455 354 301 1109
379 322 401 25 27 89
412 359 411 40 66 200
303 287 301 15 19 44
389 338 386 42 66 272
304 258 300 25 33 89
321 277 291 19 31 86
290 283 290 28 28 77
425 363 449 46 77 215
352 311 373 17 14 55
288 251 272 18 18 59
385 322 350 59 100 204
352 306 327 65 85 254
447 382 463 206 206 762
445 366 461 163 107 406
443 375 451 87 98 282
426 370 418 103 142 434
422 343 403 54 63 201
363 330 349 24 48 117
366 332 335 33 71 192
NA 330 399 5 21 42
381 337 374 71 52 180
433 342 398 87 141 394
416 339 395 89 82 340
280 274 285 9 15 40
375 341 375 42 33 155
399 362 421 26 14 65
338 304 341 22 10 58
416 372 415 117 72 398
355 289 342 14 28 97
NA 264 266 4 12 24
389 321 362 31 34 115
436 379 452 198 225 806
374 335 380 46 41 179
328 274 299 18 24 74
449 399 489 445 251 1383
422 359 412 192 175 608
462 411 537 377 272 1349
375 318 368 62 32 156
369 303 370 57 31 126
733 576 866 40 44 257
392 335 398 21 33 92
493 387 544 120 105 623
491 384 552 69 49 383
474 401 542 171 112 780
472 392 548 52 37 268
496 394 571 102 60 670
492 408 559 116 79 610
482 395 558 86 73 574
476 382 553 109 67 649
468 387 543 38 50 301
479 403 547 223 100 909
486 404 528 222 158 819
459 380 553 34 29 233
470 420 491 37 36 111
516 411 601 16 12 67
579 454 638 14 20 68
439 381 547 10 13 54
525 417 566 52 40 161
458 372 511 10 15 54
421 374 448 16 15 59
394 275 368 22 18 51
392 326 401 28 41 110
461 407 492 16 23 70
469 388 490 42 33 139
NA NA 361 0 0 54
333 315 336 17 41 102
393 358 429 21 23 94
561 511 637 72 22 231
494 404 500 55 42 135
658 519 824 139 145 834
513 433 650 229 209 1346
478 404 561 190 234 1072
488 423 574 161 138 673
497 421 609 267 298 1499
461 390 514 80 140 441
487 401 595 147 130 734
449 380 520 83 74 314
473 401 578 125 145 694
464 391 537 93 92 413
468 406 488 19 39 109
486 405 514 59 80 287
555 487 578 117 90 324
574 484 641 354 286 1165
420 372 459 92 100 377
408 339 415 19 22 74
499 347 531 27 24 108
373 365 381 11 6 22
483 397 541 133 117 709
482 377 499 48 50 206
533 452 575 72 76 265
558 414 589 90 83 310
356 321 360 21 40 98
488 398 525 38 26 134
