"M2ID" "mindfulness" "esteem" "B1SSUFFI" "B1PAGE_M2" "B1SMPQWB" "B1SDAYDI"
18419 NA NA NA 58 NA NA
17910 NA NA NA 51 NA NA
16358 NA NA NA 50 NA NA
13088 NA NA NA 37 NA NA
10199 NA 28 NA 53 9 NA
18391 NA NA NA 37 NA NA
10229 NA NA NA 50 NA NA
18291 NA NA NA 48 NA NA
11321 NA NA NA 47 NA NA
11703 NA NA NA 55 NA NA
15300 NA NA NA 41 NA NA
13538 NA NA NA 65 NA NA
18051 NA NA NA 61 NA NA
14192 NA NA NA 44 NA NA
17298 NA NA NA 48 NA NA
18887 NA NA NA 50 NA NA
13915 NA NA NA 41 NA NA
13141 NA NA NA 39 NA NA
12923 NA NA NA 43 NA NA
16936 NA NA NA 62 NA NA
18958 NA NA NA 44 NA NA
15223 NA NA NA 46 NA NA
17190 NA NA NA 44 NA NA
11841 NA NA NA 36 NA NA
18839 NA NA NA 61 NA NA
12794 NA NA NA 54 NA NA
13798 NA NA NA 54 NA NA
18852 NA 43 3.5 77 8 NA
11541 NA NA NA 70 NA NA
16682 NA 42 2.5 80 8 NA
14703 NA NA NA 43 NA NA
12270 NA NA NA 48 NA NA
13914 NA NA NA 59 NA NA
11342 39 NA 3.5 42 12 18
13414 NA NA NA 53 NA NA
11136 NA NA NA 49 NA NA
14634 NA NA NA 43 NA NA
17705 NA 30 4 77 7 NA
15711 NA NA NA 43 NA NA
16567 NA NA NA 62 NA NA
17608 NA 48 4 75 9 13
10376 NA NA NA 65 NA NA
14994 NA NA NA 38 NA NA
19055 NA NA NA 48 NA NA
18583 NA NA NA 58 NA NA
11670 NA NA NA 53 NA NA
15997 NA NA NA 65 NA NA
10020 NA NA NA 56 NA NA
12952 NA NA NA 35 NA NA
16439 NA NA NA 55 NA NA
15719 NA NA NA 83 NA NA
12731 NA NA NA 53 NA NA
14738 NA 40 4 63 11 NA
16026 NA NA NA 46 NA NA
14988 NA NA NA 49 NA NA
11235 NA NA NA 38 NA NA
18547 NA NA NA 34 NA NA
10805 NA NA NA 63 NA NA
12107 NA NA NA 37 NA NA
15435 NA NA NA 45 NA NA
17217 NA NA NA 45 NA NA
18998 NA NA NA 65 NA NA
15678 NA NA NA 55 NA NA
10053 NA NA NA 42 NA NA
13985 NA NA NA 56 NA NA
16702 NA NA NA 37 NA NA
17191 NA NA NA 46 NA NA
16449 NA NA NA 48 NA NA
13190 NA NA NA 46 NA NA
19010 NA NA NA 49 NA NA
13661 NA NA NA 43 NA NA
10809 NA NA NA 66 NA NA
12440 NA 35 3 67 9 15
13671 NA NA NA 53 NA NA
15340 NA 43 3 79 11 18
17452 NA NA NA 45 NA NA
12121 NA NA NA 48 NA NA
13953 NA NA NA 44 NA NA
11975 NA 43 3 59 12 NA
14073 NA NA NA 35 NA NA
10780 NA NA NA 65 NA NA
11389 NA NA NA 35 NA NA
10952 NA NA NA 51 NA NA
15685 NA 45 2.5 80 9 NA
16076 NA NA NA 45 NA NA
17846 NA NA NA 43 NA NA
13782 NA NA NA 45 NA NA
12217 NA NA NA 49 NA NA
14190 NA NA NA 45 NA NA
17180 NA 38 3 45 11 NA
14537 NA NA NA 72 NA NA
13185 NA NA NA 48 NA NA
16866 NA NA NA 45 NA NA
15535 NA NA NA 76 NA NA
11228 NA NA NA 55 NA NA
14843 NA NA NA 60 NA NA
12524 NA NA NA 65 NA NA
