"snum" "dnum" "api99" "growth" "meals" "ell" "yr_rnd" "mobility" "acs_k3" "acs_46" "not_hsg" "hsg" "some_col" "col_grad" "grad_sch" "avg_ed" "full" "emer" "enroll" "api00" "mealcat"
906 41 600 93 67 9 0 11 16 22 0 0 0 0 0 NA 76 24 247 693 2
889 41 501 69 92 21 0 33 15 32 0 0 0 0 0 NA 79 19 463 570 3
887 41 472 74 97 29 0 36 17 25 0 0 0 0 0 NA 68 29 395 546 3
876 41 487 84 90 27 0 27 20 30 36 45 9 9 0 1.9099999666214 87 11 418 571 3
888 41 425 53 89 30 0 44 18 31 50 50 0 0 0 1.5 87 13 520 478 3
4284 98 844 14 NA 3 0 10 20 33 1 8 24 36 31 3.89000010490417 100 0 343 858 1
4271 98 864 54 NA 2 0 16 19 28 1 4 18 34 43 4.13000011444092 100 0 303 918 1
2910 108 791 40 NA 3 0 44 20 31 0 4 16 50 30 4.05999994277954 96 2 1513 831 1
2899 108 838 22 NA 6 0 10 20 30 2 9 15 42 33 3.96000003814697 100 0 660 860 1
2887 108 703 34 29 15 0 17 21 29 8 25 34 27 7 2.98000001907349 96 7 362 737 1
2911 108 808 43 NA 2 0 16 20 30 0 3 16 45 37 4.15000009536743 100 2 768 851 1
2882 108 496 40 71 69 0 8 21 27 61 15 6 10 8 1.89999997615814 100 6 404 536 2
2907 108 815 32 NA 2 0 11 20 29 1 5 17 41 37 4.07999992370605 97 3 586 847 1
2908 108 711 54 13 8 0 19 21 27 5 34 27 31 3 2.9300000667572 98 2 633 765 1
2895 108 802 7 NA 8 0 16 20 31 5 27 25 37 6 3.11999988555908 89 7 379 809 1
2880 108 780 33 NA 11 0 12 21 32 10 35 23 27 6 2.83999991416931 100 0 417 813 1
2890 108 816 40 NA 6 0 13 21 29 1 10 15 42 32 3.95000004768372 100 0 670 856 1
3948 131 677 35 40 12 1 19 19 30 14 30 31 19 6 2.71000003814697 85 12 589 712 1
3956 131 759 46 NA 1 0 26 21 31 2 16 41 29 12 3.30999994277954 93 7 770 805 1
3947 131 632 46 37 16 1 16 20 32 12 27 29 27 6 2.86999988555908 83 15 694 678 1
3952 131 570 49 57 25 1 24 19 31 19 25 29 20 6 2.6800000667572 75 25 611 619 2
3954 131 704 9 29 14 1 14 20 30 11 29 28 26 7 2.88000011444092 80 15 594 713 1
3943 131 618 86 57 19 1 22 20 30 15 32 35 14 5 2.61999988555908 69 29 564 704 2
3945 131 452 71 69 43 1 31 19 29 32 34 18 12 4 2.22000002861023 71 29 645 523 2
4293 135 632 23 65 44 0 21 20 29 0 0 0 0 0 NA 100 0 414 655 2
4299 135 441 82 74 52 1 23 19 28 0 0 0 100 0 4 87 13 631 523 2
4318 135 473 48 74 63 0 15 19 31 0 0 0 0 0 NA 94 3 343 521 2
4319 135 701 8 18 16 0 20 17 27 0 0 0 0 0 NA 96 7 404 709 1
4296 135 452 53 75 59 0 27 19 30 0 0 0 0 0 NA 94 6 504 505 2
4317 135 744 18 18 16 0 15 20 30 0 100 0 0 0 2 100 0 512 762 1
4322 135 684 38 11 21 0 20 20 28 0 0 0 0 0 NA 95 5 637 722 1
4307 135 520 83 71 54 0 19 19 30 50 25 25 0 0 1.75 88 15 594 603 2
4302 135 579 78 67 36 0 17 19 30 22 44 33 0 0 2.10999989509583 100 0 500 657 2
4314 135 655 50 46 42 0 32 17 27 0 0 0 100 0 4 96 0 320 705 1
4292 135 748 6 25 25 0 18 20 27 13 40 33 0 13 2.59999990463257 100 4 309 754 1
4304 135 431 59 71 54 0 25 23 30 0 0 0 0 0 NA 65 43 748 490 2
4308 135 680 18 44 18 0 21 19 29 100 0 0 0 0 1 100 0 527 698 1
600 140 805 38 NA 6 0 17 -20 32 6 35 22 28 9 2.98000001907349 91 6 465 843 1
596 140 769 31 NA 6 0 41 -19 30 9 32 32 21 5 2.8199999332428 94 6 451 800 2
611 140 857 0 NA 4 0 12 -20 32 4 11 35 31 19 3.48000001907349 100 0 432 857 1
595 140 664 49 63 35 0 15 -21 32 40 29 15 12 4 2.08999991416931 92 8 524 713 2
592 140 873 -69 NA 8 0 33 -21 35 10 30 35 20 5 2.78999996185303 97 3 427 804 1
602 140 831 33 NA 5 0 35 -21 35 4 19 33 30 14 3.30999994277954 100 3 562 864 1
5222 166 917 23 NA 2 0 3 20 31 0 0 4 28 67 4.61999988555908 90 0 305 940 1
5210 166 779 13 NA 3 0 19 20 31 2 5 17 38 38 4.05000019073486 84 0 467 792 1
5217 166 882 5 NA 5 0 14 21 31 0 4 7 32 57 4.42000007629395 93 10 520 887 1
3644 209 726 49 NA 13 0 18 21 33 4 10 35 36 16 3.50999999046326 93 7 816 775 1
